what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1317804401475
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1317804401559
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317804412671
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1317804421125
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317804435572
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317804437454
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1317804464985
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1317804467400
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317804470479
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317804473647
started,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1317804473810
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317804474516
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317804482507
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1317804482677
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1317804531301
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317804532492
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1317804533396
closed,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1317804533400
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1317804534272
closed,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1317804534273
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1317804540593
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1317804548296
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1317804550249
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1317804550249
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1317804551626
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1317804551626
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1317804557740
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1317804557794
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1317804557819
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1317804558441
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1317804562190
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317804565840
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317804568338
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317804568371
opened,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1317804574848
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1317804574924
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317804575089
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317804576203
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317804580670
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317804580733
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317804581633
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1317804586712
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1317804596083
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1317804597628
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317804604453
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317804615649
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317804616598
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317804620629
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317804629572
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317804640361
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317804651720
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1317804652781
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317804658050
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317804676665
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1317804678497
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317804700972
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317804728375
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317804739023
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317804754155
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1317804757748
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317804759282
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317804764324
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1317804764846
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1317804765743
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317804776280
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317804782606
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1317804783576
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317804802911
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1317804822584
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1317804849877
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1317804850436
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317804851508
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1317804854580
closed,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1317804854581
